CAND_ID,CAND_F_NAME,CAND_L_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS,,
H8AK00132, DIMITRI,SHEIN,C,1,DEM,0.00,0.00,0.00,0.00,367.52,367.52,0.00,0.00,0.00,0.00,0.00,367.52,0.00,AK,0.00,,,,,,0.00,0,3/31/2019,0,0,,
H6AK00045, DONALD E,YOUNG,I,2,REP,186229.32,71528.54,48528.63,0.00,116720.12,254420.81,0.00,0.00,0.00,0.00,0.00,0.00,55392.27,AK,0.00,,,,,,58500.00,0,3/31/2019,0,0,,
H8AK01031, THOMAS JOHN,NELSON,C,2,REP,0.00,0.00,466.51,0.00,466.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AK,0.00,,,,,,0.00,0,3/31/2019,0,0,,
H8AK00140, ALYSE,GALVIN,C,3,IND,30376.65,0.00,9095.03,0.00,6245.09,27526.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AK,0.00,,,,,,0.00,0,3/31/2019,0,0,,
H0AL01055, JERRY LEE,CARL,O,2,REP,387592.00,0.00,7528.45,0.00,0.00,380063.55,0.00,200000.00,0.00,0.00,0.00,200000.00,184892.00,AL,1.00,,,,,,2700.00,0,3/31/2019,0,0,,
H4AL01123, BRADLEY ROBERTS,BYRNE,I,2,REP,544643.34,19259.14,1619368.36,1504815.73,1074725.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60571.00,AL,1.00,,,,,,464813.20,0,3/31/2019,0,2500,,
H0AL02087, MARTHA,ROBY,I,2,REP,72854.76,0.00,58493.59,0.00,341683.01,356044.18,0.00,0.00,0.00,0.00,0.00,0.00,6354.76,AL,2.00,,,,,,66500.00,0,3/31/2019,0,0,,
H8AL02080, JAY K,LOVE,O,2,REP,0.00,0.00,0.00,0.00,372.13,372.13,0.00,0.00,0.00,0.00,0.00,194214.55,0.00,AL,2.00,,,,,,0.00,0,3/31/2019,0,0,,
H8AL02171, FELIX BARRY,MOORE,C,2,REP,0.00,0.00,0.00,0.00,4927.67,4927.67,0.00,0.00,0.00,0.00,0.00,75950.44,0.00,AL,2.00,,,,,,0.00,0,4/25/2019,0,0,,
H8AL02189, THOMAS MARRION III,AMASON,C,2,REP,0.00,0.00,0.00,0.00,-654.20,-654.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AL,2.00,,,,,,0.00,0,3/31/2019,0,0,,
H8AL03039, JOSEPH R,TURNHAM,C,1,DEM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AL,3.00,,,,,,0.00,0,3/31/2019,0,0,,
H8AL03054, MALLORY,HAGAN,C,1,DEM,4891.75,0.00,7809.28,0.00,2917.53,0.00,0.00,0.00,0.00,0.00,0.00,-6.00,1320.00,AL,3.00,,,,,,0.00,0,3/31/2019,240,0,,
H8AL03062, ADIA MCCLELLAN DR,WINFREY,C,1,DEM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AL,3.00,,,,,,0.00,0,3/31/2019,0,0,,
H2AL03032, MICHAEL,ROGERS,I,2,REP,187665.73,0.00,103097.06,25000.00,527686.03,612254.70,0.00,0.00,0.00,0.00,0.00,0.00,117300.00,AL,3.00,,,,,,70200.00,0,3/31/2019,0,0,,
H6AL04098, ROBERT B. REP.,ADERHOLT,I,2,REP,156659.91,0.00,88616.25,0.00,715740.36,783784.02,0.00,0.00,0.00,0.00,0.00,0.00,71000.00,AL,4.00,,,,,,84900.00,0,3/31/2019,0,0,,
H0AL05049," ROBERT E ""BUD"" JR",CRAMER,I,1,DEM,1278.44,0.00,3825.00,0.00,605647.19,603100.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AL,5.00,,,,,,0.00,0,3/31/2019,0,0,,
H8AL05190, PETER S.,JOFFRION,O,1,DEM,171.51,0.00,3106.96,0.00,2935.45,0.00,171.51,0.00,0.00,0.00,0.00,0.00,0.00,AL,5.00,,,,,,0.00,0,4/22/2019,0,0,,
H0AL05163, MO,BROOKS,I,2,REP,86882.77,0.00,32295.58,0.00,692181.51,746768.70,0.00,0.00,0.00,0.00,0.00,0.00,71360.00,AL,5.00,,,,,,14700.00,0,3/31/2019,0,0,,
H8AL05208, ROBERT CLAYTON MR,HINCHMAN,O,3,GOP,1033.08,0.00,0.00,0.00,-1033.08,0.00,1033.08,0.00,0.00,0.00,0.00,92624.68,0.00,AL,5.00,,,,,,0.00,0,3/31/2019,0,0,,
H4AL06098, GARY,PALMER,I,2,REP,24689.85,0.00,67980.74,0.00,372551.28,329260.39,0.00,0.00,0.00,0.00,0.00,0.00,13985.00,AL,6.00,,,,,,10500.00,0,3/31/2019,0,-2700,,
H0AL07086, TERRI A.,SEWELL,I,1,DEM,201498.79,0.00,187179.54,0.00,1571272.38,1585591.63,0.00,0.00,0.00,0.00,0.00,0.00,35755.00,AL,7.00,,,,,,165500.00,0,3/31/2019,0,0,,
H0AR01109, CHAD,CAUSEY,O,1,DEM,0.00,0.00,150.00,0.00,331.59,181.59,0.00,0.00,0.00,0.00,0.00,112037.30,0.00,AR,1.00,,,,,,0.00,0,3/31/2019,0,0,,
H0AR01083, ERIC ALAN RICK,CRAWFORD,I,2,REP,95970.00,0.00,104689.45,25000.00,311424.52,302705.07,0.00,0.00,0.00,0.00,0.00,0.00,51970.00,AR,1.00,,,,,,44000.00,0,3/31/2019,0,0,,
H0AR01125, PRINCELLA D,SMITH,O,2,REP,0.00,0.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AR,1.00,,,,,,0.00,0,3/31/2019,0,0,,
H8AR02142, GWENDOLYNN MILLEN MRS.,COMBS,C,1,DEM,0.00,0.00,56.00,0.00,2456.03,2400.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AR,2.00,,,,,,0.00,0,3/31/2019,0,0,,
H8AR02159, EVERETT CLARKE IV,TUCKER,C,1,DEM,99.99,0.00,4219.51,0.00,7756.41,3636.89,0.00,0.00,0.00,0.00,0.00,4500.00,0.00,AR,2.00,,,,,,0.00,0,3/31/2019,0,0,,
H4AR02141, JAMES FRENCH,HILL,I,2,REP,341823.49,82660.93,57227.90,0.00,46780.63,331376.22,0.00,0.00,0.00,0.00,0.00,0.00,72560.00,AR,2.00,,,,,,149196.96,0,3/31/2019,0,0,,
H0AR03030, DAVID JEFFREY,WHITAKER,O,1,DEM,0.00,0.00,0.00,0.00,3367.43,3367.43,0.00,0.00,0.00,0.00,0.00,18457.09,0.00,AR,3.00,,,,,,0.00,0,3/31/2019,0,0,,
H8AR03074, JOSH,MAHONY,C,1,DEM,2660.00,0.00,2660.00,0.00,186.36,186.36,2660.00,0.00,0.00,0.00,0.00,46666.00,0.00,AR,3.00,,,,,,0.00,0,3/31/2019,0,0,,
H0AR03055, STEVE,WOMACK,I,2,REP,57756.30,0.00,75837.43,0.00,1159218.79,1141137.66,0.00,0.00,0.00,0.00,0.00,0.00,28475.00,AR,3.00,,,,,,29281.30,0,3/31/2019,0,0,,
H2AR03143, JAMES PAUL,HENDREN,C,2,REP,0.00,0.00,0.00,0.00,93.06,93.06,0.00,0.00,0.00,0.00,0.00,450142.15,0.00,AR,3.00,,,,,,0.00,0,3/31/2019,0,0,,
H2AR04133, Q. BYRUM JR,HURST,O,1,DEM,0.00,0.00,0.00,0.00,20.61,20.61,0.00,0.00,0.00,0.00,0.00,8982.22,0.00,AR,4.00,,,,,,0.00,0,3/31/2019,0,0,,
H8AR04130, HAYDEN CATHERINE,SHAMEL,C,1,DEM,266.48,0.00,627.48,0.00,2197.18,1836.18,132.10,0.00,0.00,0.00,0.00,0.00,0.00,AR,4.00,,,,,,0.00,0,3/31/2019,0,0,,
H2AR04083, THOMAS,COTTON,C,2,REP,935760.42,354493.16,203203.51,0.00,2099351.54,2831908.45,0.00,0.00,0.00,0.00,0.00,113889.55,367001.61,AR,4.00,,,,,,214250.00,0,3/31/2019,10200,1000,,
H4AR04048, BRUCE,WESTERMAN,I,2,REP,130758.41,0.00,92658.88,0.00,671609.55,709709.08,0.00,0.00,0.00,0.00,0.00,0.00,69760.00,AR,4.00,,,,,,55750.00,0,3/31/2019,0,0,,
H4AS00036, AUMUA,AMATA,I,2,REP,2700.00,0.00,2143.88,0.00,916.98,1473.10,0.00,0.00,0.00,0.00,0.00,0.00,2700.00,AS,0.00,,,,,,0.00,0,3/31/2019,0,0,,
H0AZ01358, EVA,PUTZOVA,C,1,DEM,30973.55,0.00,10789.29,0.00,0.00,20184.26,524.44,0.00,0.00,0.00,0.00,0.00,30449.11,AZ,1.00,,,,,,0.00,0,3/31/2019,0,0,,
H6AZ01199, TOM,O'HALLERAN,I,1,DEM,220998.48,0.00,40248.29,0.00,5931.95,186682.14,0.00,0.00,0.00,0.00,0.00,31260.74,103298.48,AZ,1.00,,,,,,113700.00,0,3/31/2019,100,0,,
H2AZ01172, RICHARD G.,RENZI,I,2,REP,0.00,0.00,0.00,0.00,1244.79,1244.79,0.00,0.00,0.00,0.00,0.00,456157.37,0.00,AZ,1.00,,,,,,0.00,0,3/31/2019,0,0,,
H2AZ09035, WENDY,ROGERS,C,2,REP,34635.00,0.00,31713.67,0.00,1702.07,4623.40,0.00,0.00,0.00,1000.00,0.00,12759.21,34635.00,AZ,1.00,,,,,,0.00,0,3/31/2019,1150,0,,
H4AZ01145, GARY,KIEHNE,C,2,REP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250000.00,0.00,AZ,1.00,,,,,,0.00,0,3/31/2019,0,0,,
H6AZ01173, KEN,BENNETT,O,2,REP,0.00,0.00,0.00,0.00,3112.16,3112.16,0.00,0.00,0.00,0.00,0.00,70000.00,0.00,AZ,1.00,,,,,,0.00,0,3/31/2019,0,0,,
H8AZ01211, KEVIN,CAVANAUGH,C,2,REP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,380.73,0.00,AZ,1.00,,,,,,0.00,0,3/31/2019,0,0,,
H8AZ01229, STEVE,SMITH,C,2,REP,0.00,0.00,70.00,0.00,186.37,116.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AZ,1.00,,,,,,0.00,0,3/31/2019,0,0,,
H8AZ01237, TIFFANY,SHEDD,C,2,REP,700.00,0.00,2475.90,0.00,3433.46,1657.56,0.00,700.00,0.00,0.00,0.00,295040.37,0.00,AZ,1.00,,,,,,0.00,0,3/31/2019,0,0,,
H8AZ01104, ANN,KIRKPATRICK,I,1,DEM,277600.00,1107.63,137275.66,0.00,72191.25,212515.59,0.00,0.00,0.00,0.00,0.00,0.00,136816.37,AZ,2.00,,,,,,139000.00,0,3/31/2019,3175.5,166.67,,
H8AZ02136, MATTHEW GERALD,HEINZ,O,1,DEM,0.00,0.00,0.00,0.00,500.00,500.00,0.00,0.00,0.00,0.00,0.00,311547.56,0.00,AZ,2.00,,,,,,0.00,0,3/31/2019,0,0,,
H8AZ02235, YAHYA,YUKSEL,O,1,DEM,0.00,0.00,478.56,0.00,-1680.27,-2158.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AZ,2.00,,,,,,0.00,0,2/5/2019,0,0,,
H0AZ02190, BRANDON RAY,MARTIN,C,2,REP,6131.00,0.00,791.81,0.00,0.00,5339.19,0.00,0.00,0.00,0.00,0.00,0.00,6131.00,AZ,2.00,,,,,,0.00,0,3/31/2019,0,0,,
H2AZ08102, MARTHA,MCSALLY,I,2,REP,0.00,0.00,29355.32,0.00,66813.25,37457.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AZ,2.00,,,,,,0.00,0,3/31/2019,0,0,,
H8AZ02185, LEA,MARQUEZ PETERSON,O,2,REP,6054.88,0.00,1344.90,0.00,9214.28,13924.26,0.00,0.00,0.00,1000.00,0.00,11312.51,0.00,AZ,2.00,,,,,,0.00,0,3/31/2019,0,0,,
H8AZ02201, BRANDON RAY,MARTIN,O,2,REP,6131.00,0.00,791.81,0.00,0.00,5339.19,0.00,0.00,0.00,0.00,0.00,0.00,6131.00,AZ,2.00,,,,,,0.00,0,3/31/2019,0,0,,
H8AZ02227, DANIEL ROMERO JR,MORALES,O,2,REP,0.00,0.00,79.30,0.00,79.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AZ,2.00,,,,,,0.00,0,1/31/2019,0,0,,
H2AZ07070, RAUL M,GRIJALVA,I,1,DEM,85703.61,0.00,38472.02,0.00,38155.74,85387.33,0.00,0.00,0.00,0.00,0.00,4015.59,62630.48,AZ,3.00,,,,,,22500.00,0,3/31/2019,50,0,,
H8AZ03142, SERGIO,ARELLANO,C,2,REP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AZ,3.00,,,,,,0.00,0,2/1/2019,0,0,,
H8AZ04140, DAVID H,BRILL,C,1,DEM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,227612.63,0.00,AZ,4.00,,,,,,0.00,0,1/1/2019,0,0,,
H8AZ04165, DELINA,DISANTO,C,1,DEM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AZ,4.00,,,,,,0.00,0,3/31/2019,0,0,,
H0AZ01259, PAUL DR.,GOSAR,I,2,REP,33141.79,0.00,32163.48,602.00,121199.58,122177.89,0.00,0.00,0.00,0.00,0.00,0.00,13635.00,AZ,4.00,,,,,,19500.00,0,3/31/2019,0,0,,
H2AZ04135, RON,GOULD,C,2,REP,0.00,0.00,0.00,0.00,4473.28,4473.28,0.00,0.00,0.00,0.00,0.00,141741.20,0.00,AZ,4.00,,,,,,0.00,0,3/31/2019,0,0,,
H8AZ05154, JOAN,GREENE,C,1,DEM,7424.74,0.00,6628.68,0.00,1837.41,2633.47,0.00,5696.74,0.00,0.00,0.00,152221.74,1728.00,AZ,5.00,,,,,,0.00,0,3/31/2019,0,0,,
H2AZ06148, KIRK DAVID,ADAMS,O,2,REP,0.00,0.00,0.00,0.00,560.22,560.22,0.00,0.00,0.00,0.00,0.00,110206.46,0.00,AZ,5.00,,,,,,0.00,0,3/31/2019,0,0,,
H6AZ05083, ANDY MR.,BIGGS,I,2,REP,104685.00,0.00,19252.78,0.00,285245.51,370677.73,0.00,0.00,0.00,0.00,0.00,131000.00,62095.00,AZ,5.00,,,,,,42590.00,0,3/31/2019,2500,0,,
H6AZ05091, JUSTIN,OLSON,O,2,REP,0.00,0.00,0.00,0.00,703.23,703.23,0.00,0.00,0.00,0.00,0.00,100000.00,0.00,AZ,5.00,,,,,,0.00,0,3/31/2019,0,0,,
H6AZ05125, CHRISTINE,JONES,O,2,REP,247225.35,0.00,250000.00,0.00,2774.65,0.00,247225.35,0.00,0.00,250000.00,0.00,0.00,0.00,AZ,5.00,,,,,,0.00,0,3/31/2019,0,0,,
H8AZ06103, ANITA,MALIK,,1,DEM,945.00,0.00,829.87,0.00,6195.48,6310.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AZ,6.00,,,,,,0.00,0,3/31/2019,0,0,,
H8AZ08083, HIRAL VYAS,TIPIRNENI,C,1,DEM,8.23,0.00,14002.51,0.00,100601.74,86607.46,0.00,0.00,0.00,0.00,0.00,70000.00,0.00,AZ,6.00,,,,,,0.00,0,3/31/2019,683.5,0,,
H0AZ01184, JEFF MR.,FLAKE,C,2,REP,0.00,0.00,8153.55,0.00,1121967.48,1113813.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AZ,6.00,,,,,,0.00,0,3/31/2019,0,0,,
H4AZ06045, DAVID S.,SCHWEIKERT,I,2,REP,248578.56,80653.56,52246.93,0.00,44232.49,240564.12,0.00,0.00,0.00,0.00,0.00,251614.10,100425.00,AZ,6.00,,,,,,67500.00,0,3/31/2019,0,0,,
H2AZ02055, ED L,PASTOR,C,1,DEM,0.00,0.00,1480.47,0.00,97406.64,97406.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AZ,7.00,,,,,,0.00,0,9/30/2019,0,0,,
H4AZ07043, RUBEN,GALLEGO,I,1,DEM,399299.93,0.00,241037.40,0.00,459177.86,617440.39,0.00,0.00,0.00,0.00,0.00,0.00,157508.68,AZ,7.00,,,,,,240000.00,0,3/31/2019,5600,0,,
H8AZ08232, ROBERT RICHARD,MUSSELWHITE,C,1,DEM,9.00,0.00,309.00,0.00,407.00,106.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,AZ,8.00,,,,,,0.00,0,3/31/2019,0,0,,
