first_name,last_name,position
Ralph,Abraham,Representative
Gary,Ackerman,Representative
Alma,Adams,Representative
Sandy,Adams,Representative
Robert,Aderholt,Representative
Pete,Aguilar,Representative
Daniel,Akaka,Senator
Todd,Akin,Representative
Lamar,Alexander,Senator
Rodney,Alexander,Representative
Rick,Allen,Representative
Colin,Allred,Representative
Jason,Altmire,Representative
Justin,Amash,Representative
Mark,Amodei,Representative
Robert,Andrews,Representative
Kelly,Armstrong,Representative
Jodey,Arrington,Representative
Brad,Ashford,Representative
Steve,Austria,Representative
Cynthia,Axne,Representative
Kelly,Ayotte,Senator
Brian,Babin,Representative
Joe,Baca,Representative
Michele,Bachmann,Representative
Spencer,Bachus,Representative
Don,Bacon,Representative
James,Baird,Representative
Troy,Balderson,Representative
Tammy,Baldwin,Senator
Jim,Banks,Representative
Ron,Barber,Representative
Lou,Barletta,Representative
Andy,Barr,Representative
Nanette,Barragan,Representative
John,Barrasso,Senator
John,Barrow,Representative
Roscoe,Bartlett,Representative
Joe,Barton,Representative
Charles,Bass,Representative
Karen,Bass,Representative
Max,Baucus,Senator
Joyce,Beatty,Representative
Xavier,Becerra,Representative
Mark,Begich,Senator
Dan,Benishek,Representative
Michael,Bennet,Senator
Kerry,Bentivolio,Representative
Ami,Bera,Representative
Rick,Berg,Representative
Jack,Bergman,Representative
Shelley,Berkley,Representative
Howard,Berman,Representative
Donald,Beyer,Representative
Judy,Biggert,Representative
Andy,Biggs,Representative
Brian,Bilbray,Representative
Gus,Bilirakis,Representative
Jeff,Bingaman,Senator
Mike,Bishop,Representative
Rob,Bishop,Representative
Sanford,Bishop,Representative
Timothy,Bishop,Representative
Diane,Black,Representative
Marsha,Blackburn,Senator
Rod,Blum,Representative
Earl,Blumenauer,Representative
Richard,Blumenthal,Senator
Lisa,Blunt,Representative
Roy,Blunt,Senator
John,Boehner,Representative
Suzanne,Bonamici,Representative
Jo,Bonner,Representative
Mary,Bono,Representative
Cory,Booker,Senator
John,Boozman,Senator
Madeleine,Bordallo,Representative
Dan,Boren,Representative
Mike,Bost,Representative
Leonard,Boswell,Representative
Charles,Boustany,Representative
Barbara,Boxer,Senator
Brendan,Boyle,Representative
Kevin,Brady,Representative
Robert,Brady,Representative
Bruce,Braley,Representative
Dave,Brat,Representative
Mike,Braun,Senator
Jim,Bridenstine,Representative
Anthony,Brindisi,Representative
Mo,Brooks,Representative
Susan,Brooks,Representative
Paul,Broun,Representative
Anthony,Brown,Representative
Corrine,Brown,Representative
Scott,Brown,Senator
Sherrod,Brown,Senator
Julia,Brownley,Representative
Vern,Buchanan,Representative
Ken,Buck,Representative
Larry,Bucshon,Representative
Ted,Budd,Representative
Ann,Buerkle,Representative
Tim,Burchett,Representative
Michael,Burgess,Representative
Richard,Burr,Senator
Dan,Burton,Representative
Cheri,Bustos,Representative
G.,Butterfield,Representative
Bradley,Byrne,Representative
Ken,Calvert,Representative
Dave,Camp,Representative
John,Campbell,Representative
Francisco,Canseco,Representative
Eric,Cantor,Representative
Maria,Cantwell,Senator
Shelley,Capito,Senator
Lois,Capps,Representative
Michael,Capuano,Representative
Salud,Carbajal,Representative
Tony,Cardenas,Representative
Benjamin,Cardin,Senator
Dennis,Cardoza,Representative
Russ,Carnahan,Representative
John,Carney,Representative
Thomas,Carper,Senator
Andre,Carson,Representative
Earl,Carter,Representative
John,Carter,Representative
Matt,Cartwright,Representative
Ed,Case,Representative
Robert,Casey,Senator
Bill,Cassidy,Senator
Sean,Casten,Representative
Kathy,Castor,Representative
Joaquin,Castro,Representative
Steve,Chabot,Representative
Jason,Chaffetz,Representative
Saxby,Chambliss,Senator
Ben,Chandler,Representative
Liz,Cheney,Representative
Jeff,Chiesa,Senator
Donna,Christensen,Representative
Judy,Chu,Representative
David,Cicilline,Representative
Gilbert,Cisneros,Representative
Katherine,Clark,Representative
Hansen,Clarke,Representative
Yvette,Clarke,Representative
Curt,Clawson,Representative
Wm.,Clay,Representative
Emanuel,Cleaver,Representative
Ben,Cline,Representative
Michael,Cloud,Representative
James,Clyburn,Representative
Daniel,Coats,Senator
Howard,Coble,Representative
Tom,Coburn,Senator
Thad,Cochran,Senator
Mike,Coffman,Representative
Steve,Cohen,Representative
Tom,Cole,Representative
Chris,Collins,Representative
Doug,Collins,Representative
Susan,Collins,Senator
James,Comer,Representative
Barbara,Comstock,Representative
K.,Conaway,Representative
Gerald,Connolly,Representative
Kent,Conrad,Senator
John,Conyers,Representative
Paul,Cook,Representative
Christopher,Coons,Senator
Jim,Cooper,Representative
Bob,Corker,Senator
John,Cornyn,Senator
J.,Correa,Representative
Catherine,Cortez,Senator
Jim,Costa,Representative
Jerry,Costello,Representative
Ryan,Costello,Representative
Tom,Cotton,Senator
Joe,Courtney,Representative
William,Cowan,Senator
TJ,Cox,Representative
Angie,Craig,Representative
Kevin,Cramer,Senator
Mike,Crapo,Senator
Chip,Cravaack,Representative
Eric,Crawford,Representative
Ander,Crenshaw,Representative
Dan,Crenshaw,Representative
Charlie,Crist,Representative
Mark,Critz,Representative
Jason,Crow,Representative
Joseph,Crowley,Representative
Ted,Cruz,Senator
Henry,Cuellar,Representative
John,Culberson,Representative
Elijah,Cummings,Representative
Joe,Cunningham,Representative
Carlos,Curbelo,Representative
David,Curson,Representative
John,Curtis,Representative
Steve,Daines,Senator
Sharice,Davids,Representative
Warren,Davidson,Representative
Danny,Davis,Representative
Geoff,Davis,Representative
Rodney,Davis,Representative
Susan,Davis,Representative
Madeleine,Dean,Representative
Peter,DeFazio,Representative
Diana,DeGette,Representative
John,Delaney,Representative
Rosa,DeLauro,Representative
Suzan,DelBene,Representative
Antonio,Delgado,Representative
Val,Demings,Representative
Jim,DeMint,Senator
Jeff,Denham,Representative
Charles,Dent,Representative
Ron,DeSantis,Representative
Mark,DeSaulnier,Representative
Scott,DesJarlais,Representative
Theodore,Deutch,Representative
Mario,Diaz-Balart,Representative
Norman,Dicks,Representative
Debbie,Dingell,Representative
John,Dingell,Representative
Lloyd,Doggett,Representative
Robert,Dold,Representative
Joe,Donnelly,Senator
Daniel,Donovan,Representative
Michael,Doyle,Representative
David,Dreier,Representative
Tammy,Duckworth,Senator
Sean,Duffy,Representative
Jeff,Duncan,Representative
John,Duncan,Representative
Neal,Dunn,Representative
Richard,Durbin,Senator
Donna,Edwards,Representative
Keith,Ellison,Representative
Renee,Ellmers,Representative
Jo,Emerson,Representative
Tom,Emmer,Representative
Eliot,Engel,Representative
John,Ensign,Senator
William,Enyart,Representative
Michael,Enzi,Senator
Joni,Ernst,Senator
Veronica,Escobar,Representative
Anna,Eshoo,Representative
Adriano,Espaillat,Representative
Ron,Estes,Representative
