lobbyist_name,position
Jessica Tocco,"Confidential Assistant to Carlos Gutierrez, Secretary of Commerce"
Patrick Anderson,Legislative Advisor to Representative Henry Bonilla
Matthew Weinstein,"Legislative Director to Rep Byrne, Sr LA to Rep Bonner, LA to Rep Rogers"
Todd Harmer,LA to Sen Chambliss
Dave Myers,"LA to Sen Domenici, Exec Asst to Sen DAmato"
Jonathan McCollum,Legislative Assistant to US Senator
Chelsey Hickman,"CoS, Rep. Kay Granger; LA Sen. Larry Craig"
Jake Perry,"Legislative Aide, Sen. Harry Reid"
Amy Lombardo,"Staff/Scheduler Congressman Michael K. Simpson
Staff Senator Larry E. Craig"
Gregg Rothschild,"Legislative Assistant, Senator John Kerry; Counsel, Senate Committee on Small Business; Minority Telecommunications Counsel, House Committee on Energy and Commerce; Deputy Chief of Staff and Chief Counsel, House Committee on Energy and Commerce"
Susan Brophy,"Chief of Staff, Representative Byron Dorgan; Chief of Staff, Senator Tim Wirth; Dep. Asst.to the President for Leg. Affairs"
Gina Foote,"Chief of Staff, Rep. Ted Poe; Legislative Counsel, Rep. Ted Poe."
Rob Seidman,"Legislative Assistant, Sen. Kelly Ayotte; Policy Director, Rep. Marsha Blackburn; Director of Intergovernmental Affairs, U.S. Department of Commerce; Legislative Assistant, Rep. Bob Riley;
Intern, Sen. Bill Frist"
Clint Lohse,Legislative Assistant to Sen. Mike Enzi (R-Wyoming)
Cody Hoefer,National Defense Military Policy Advisor / Senior Legislative Assistant to Rep. Steve Russell (OK-05)
Leslie Belcher,Chief of Staff; Reps. Tom Cole (OK-4) and Wes Watkins (OK-3)
John Lundy,COS to Sen. Trent Lott; LA to Rep. Larry Combest; LA to Rep. Mike Espy
Susan Butler,COS to Rep. Chip Pickering; LA to Sen. Trent Lott
Ty Mabry,Deputy Legislative Director to Sen. Thad Cochran
Marla Grossman,"Minority Counsel, Senate Judiciary Committee"
Greg Schildwachter,US Senate; Executive Office of the President.
Daniel McFaul,"​​Leg Dir to U.S. Rep. Joe Scarborough. Chief of Staff to U.S. Reps. Jeff Miller, Matt Gaetz."
