source,target
1,965
2,966
3,967
3,968
4,969
4,970
5,971
6,972
6,973
7,974
8,969
9,969
10,975
11,976
12,977
13,978
14,979
15,980
16,981
16,982
16,983
17,984
17,985
17,986
18,987
18,988
19,989
20,990
21,991
22,981
23,992
24,993
24,994
25,968
26,995
26,996
27,997
27,998
27,999
28,1000
28,1001
29,1002
30,1003
31,1004
31,1005
31,1006
32,1004
33,1007
33,1008
33,1009
34,1010
35,1011
35,1012
35,1013
36,1014
37,1014
38,1015
38,1016
39,1017
39,1018
40,985
41,1019
41,1020
42,1021
42,1022
43,1023
43,1024
44,968
45,1025
45,1026
46,1027
46,1028
46,1029
46,1030
47,1031
48,1032
48,1033
48,1034
49,1035
50,1036
51,1037
52,1014
53,1038
54,1039
55,1040
55,1041
56,1042
57,1043
58,1044
58,1045
58,1038
59,1031
60,1046
60,1040
60,1047
61,1048
62,1049
63,1045
64,1050
65,1003
66,990
66,1051
66,1052
66,1053
67,1054
68,1055
69,1056
70,1057
70,1058
71,1059
72,1060
72,1061
73,986
74,1062
75,1063
76,1064
77,1016
78,1065
79,1004
80,1066
81,989
82,1067
83,1068
84,1069
85,1070
86,1071
87,1072
88,1073
88,1074
89,1075
90,1012
90,1034
91,1076
91,1077
92,1077
93,1078
93,1079
94,993
95,968
96,1080
96,1081
97,1082
97,1083
98,1084
99,1012
99,1085
100,1086
101,1087
102,1088
102,1089
102,1090
103,1091
104,1092
104,1093
105,1077
106,1016
107,1077
107,991
108,1094
108,1095
109,1096
110,1097
111,1098
112,1015
113,1099
114,1100
115,1101
115,1102
116,1063
117,1103
118,985
119,1104
120,1105
120,973
121,1106
121,1107
122,977
123,1108
123,1109
123,1110
124,1002
125,1111
126,1112
127,1113
128,1114
129,990
130,1115
131,1116
132,1117
133,1118
134,1011
134,1012
134,1013
135,1119
136,986
137,985
138,1120
139,1121
139,1122
140,981
141,1123
142,1124
142,1125
143,1126
144,1019
145,1047
146,1039
147,1127
148,972
149,1021
150,1128
151,1129
151,1130
151,1131
152,1132
153,1003
154,968
155,1133
156,1134
156,1135
157,1136
157,1137
158,1138
158,1139
159,1040
159,1116
159,1122
160,1140
161,985
162,1141
163,1142
164,1143
165,1144
166,1145
167,1146
168,967
168,968
169,1147
170,1148
171,1149
171,1150
171,1151
172,978
173,986
173,1152
173,1153
174,1154
175,1077
175,1155
176,1156
177,1157
178,1158
179,1159
179,1160
180,1121
181,1161
181,986
182,986
183,1162
183,1163
184,1142
185,1164
186,1165
186,1166
186,1016
187,1167
187,1168
188,1017
189,1169
190,1119
191,1067
191,1170
191,1171
192,1133
193,1172
193,1173
194,1174
195,1175
195,1119
195,1117
195,1007
196,1176
196,986
197,1177
197,1178
198,1179
199,1167
199,1180
200,1167
201,1181
202,1182
203,1183
204,1184
205,1185
205,1186
205,1187
206,989
207,1188
207,1189
208,983
209,981
210,1181
211,1016
211,1190
211,1191
212,1192
212,1016
213,977
213,1193
214,1015
215,1015
216,1194
217,987
218,1178
218,1195
219,1196
220,1197
221,1008
222,1077
223,973
224,1198
225,993
226,1045
227,1199
227,1200
228,1201
229,1202
230,1203
231,1128
232,1204
233,1205
234,990
234,1070
235,1206
235,990
236,1143
237,1125
238,1207
238,1208
238,1209
239,1033
239,1210
240,1211
241,1212
242,1213
243,1133
243,1214
243,1198
244,1215
245,1216
246,1083
246,1217
247,993
248,1218
249,1219
250,999
251,1017
252,1220
253,1221
254,1178
255,1165
256,1222
257,993
258,1223
259,1224
260,1133
261,1148
261,1046
262,1225
262,1226
263,1067
264,1211
265,1227
266,1151
267,1228
267,1102
268,1229
268,1230
268,981
269,1231
270,1232
270,1233
271,1234
272,1043
273,1207
273,1208
273,1209
274,1235
275,1236
276,1182
277,1113
278,1176
279,1237
280,1238
280,1223
281,1239
281,1055
282,1148
283,1088
283,1089
284,1240
284,1241
285,1242
286,1243
286,1244
287,1245
288,1246
289,1011
290,1165
21,1247
291,1248
292,1249
292,1250
293,1232
293,1251
294,1232
294,1137
294,1233
295,1160
296,1097
296,1252
297,1120
298,1016
298,1142
299,1253
300,1174
301,1254
301,1255
302,1256
303,1257
304,1258
305,983
306,1259
307,1260
308,986
308,1261
309,1052
310,1262
311,1039
312,1263
313,1180
314,983
315,1008
316,1081
317,1063
318,1264
319,1242
319,1265
319,1266
320,1267
320,1129
321,1210
321,994
322,1268
322,1269
323,1113
324,991
325,1088
326,1270
326,1271
326,986
327,1202
328,991
328,1077
328,1272
329,1273
329,1027
329,1274
329,1065
330,1275
331,1276
331,1277
332,1196
333,1278
333,1279
334,1015
334,985
334,1016
335,1280
336,1281
336,1282
337,1016
338,1283
339,1278
340,1269
341,1284
342,1285
342,1218
343,1286
344,1287
345,1003
346,1288
347,1165
348,1289
349,1290
349,1291
350,1148
351,1118
351,1262
352,1292
353,1293
354,1294
355,1113
356,1295
357,1296
358,1099
359,1297
360,1298
361,985
362,1299
363,1300
364,1301
365,1302
365,1303
366,1304
366,1305
366,1306
367,1307
368,1105
368,973
369,1308
370,1083
370,1309
371,1083
372,1013
373,1310
374,1311
375,1312
375,969
376,1313
377,1065
377,1277
378,1314
379,989
379,1072
379,1179
380,1315
381,1314
382,1274
383,1316
384,977
385,1055
159,1317
386,1234
387,1318
388,1319
389,991
390,1320
390,1054
390,1321
390,1299
390,973
391,1178
391,1234
391,1322
392,1301
393,1323
394,1324
394,1325
395,1326
396,1179
397,1327
397,1328
398,1155
399,1148
400,1249
400,1250
401,1166
401,1329
402,1076
402,1330
403,1065
404,1003
405,1056
405,1314
406,1056
407,1331
408,1045
409,1011
409,1190
410,1332
411,1333
412,1110
413,1120
414,1080
415,1334
415,986
415,991
416,1335
417,1336
418,1337
418,981
418,1338
418,1339
419,1182
419,1021
419,1340
420,1106
421,1341
421,1072
422,1342
423,1343
424,1344
425,1134
426,1345
426,1003
427,1243
428,1346
429,1346
430,1347
431,1091
432,1348
49,1349
49,1350
433,1343
434,1178
435,1351
435,1352
436,997
437,1353
438,1073
439,1354
439,1355
440,1118
440,978
441,1356
442,1357
442,1358
442,1017
443,1359
443,1360
444,1361
445,977
446,1362
446,1306
447,1076
447,1077
448,1363
448,1364
