id,label,role,donation_amt_received
1,jason s. mckitrick,lobbyist,0
2,william hanka,lobbyist,0
3,michael haywood,lobbyist,0
4,pete kirkham,lobbyist,0
5,susan hirschmann,lobbyist,0
6,stacey smith,lobbyist,0
7,jonathan mccollum,lobbyist,0
8,robert powell,lobbyist,0
9,joshua grogis,lobbyist,0
10,jake johnston,lobbyist,0
11,elizabeth whitney,lobbyist,0
12,emily peterson,lobbyist,0
13,jackson droney,lobbyist,0
14,paul marcone,lobbyist,0
15,michelle easton,lobbyist,0
16,elizabeth murray,lobbyist,0
17,charlotte ivancic,lobbyist,0
18,pamela smith,lobbyist,0
19,israel izzy klein,lobbyist,0
20,matthew johnson,lobbyist,0
21,gregg hartley,lobbyist,0
22,scott tominovich,lobbyist,0
23,terry allen,lobbyist,0
24,lisa layman,lobbyist,0
25,brian sutter,lobbyist,0
26,tom wharton,lobbyist,0
27,mark dedrick,lobbyist,0
28,elizabeth powell,lobbyist,0
29,paige thoman,lobbyist,0
30,christopher k. bradish,lobbyist,0
31,chris jones,lobbyist,0
32,adam higgins,lobbyist,0
33,tyler thompson,lobbyist,0
34,libby greer,lobbyist,0
35,jeff strunk,lobbyist,0
36,ryan welch,lobbyist,0
37,richard roberts,lobbyist,0
38,michael solon,lobbyist,0
39,david castagnetti,lobbyist,0
40,dean rosen,lobbyist,0
41,david thomas,lobbyist,0
42,elise pickering,lobbyist,0
43,charles wooters,lobbyist,0
44,sage eastman,lobbyist,0
45,lauren aronson,lobbyist,0
46,michael robinson,lobbyist,0
47,michael collins,lobbyist,0
48,constantine hingson,lobbyist,0
49,daniel mcfaul,lobbyist,0
50,john williams,lobbyist,0
51,andrew coats,lobbyist,0
52,sarah strup herbert,lobbyist,0
53,robert zucker,lobbyist,0
54,charla penn,lobbyist,0
55,chelsey hickman,lobbyist,0
56,molly mcdonnell,lobbyist,0
57,jocelyn hong,lobbyist,0
58,jessica lawrence-vaca,lobbyist,0
59,tom nagle,lobbyist,0
60,barry brown,lobbyist,0
61,brett heimov,lobbyist,0
62,steve stallmer,lobbyist,0
63,shay hancock,lobbyist,0
64,marc numedahl,lobbyist,0
65,dan renberg,lobbyist,0
66,jerr rosenbaum,lobbyist,0
67,christina mcgarry,lobbyist,0
68,rhod shaw,lobbyist,0
69,jason schendle,lobbyist,0
70,corry marshall,lobbyist,0
71,david pore,lobbyist,0
72,michael tomberlin,lobbyist,0
73,tyson redpath,lobbyist,0
74,mark kadesh,lobbyist,0
75,christian kierig,lobbyist,0
76,dave ramey,lobbyist,0
77,john green,lobbyist,0
78,jason van pelt,lobbyist,0
79,anne marie polak,lobbyist,0
80,nathan bult,lobbyist,0
81,stacy ettinger,lobbyist,0
82,julie minerva,lobbyist,0
83,eric swedlund,lobbyist,0
84,michael beer,lobbyist,0
85,patrick pettey,lobbyist,0
86,david rudd,lobbyist,0
87,jack quinn,lobbyist,0
88,james bonham,lobbyist,0
89,gregg nunziata,lobbyist,0
90,arjun mody,lobbyist,0
91,matt bravo,lobbyist,0
92,rob collins,lobbyist,0
93,john scofield,lobbyist,0
94,todd wooten,lobbyist,0
95,jasper thomson,lobbyist,0
96,milan dalal,lobbyist,0
97,william moschella,lobbyist,0
98,travis norton,lobbyist,0
99,david haines,lobbyist,0
100,sean murphy,lobbyist,0
101,keith studdard,lobbyist,0
102,james barker,lobbyist,0
103,john anderson,lobbyist,0
104,tom koonce,lobbyist,0
105,steve stombres,lobbyist,0
106,manny rossman,lobbyist,0
107,kyle nevins,lobbyist,0
108,nicole venable,lobbyist,0
109,blair larkins,lobbyist,0
110,lauren maddox,lobbyist,0
111,paul bock,lobbyist,0
112,brian mcguire,lobbyist,0
113,greta joynes,lobbyist,0
114,peter j. evich,lobbyist,0
115,geoffrey bowman,lobbyist,0
116,laura morgan kessler,lobbyist,0
117,lauren cowles,lobbyist,0
118,alex vogel,lobbyist,0
119,josh holly,lobbyist,0
120,jeffery walter,lobbyist,0
121,david olander,lobbyist,0
122,rebecca benn,lobbyist,0
123,mark rayder,lobbyist,0
124,christian morgan,lobbyist,0
125,kyle gilster,lobbyist,0
126,y. brian lee,lobbyist,0
127,andrew kauders,lobbyist,0
128,david adams,lobbyist,0
129,kevin mclaughlin,lobbyist,0
130,michael quaranta,lobbyist,0
131,robert bradner,lobbyist,0
132,ansley erdel,lobbyist,0
133,jared weaver,lobbyist,0
134,jeffrey sadosky,lobbyist,0
135,adrienne schweer,lobbyist,0
136,jeffrey strunk,lobbyist,0
137,michael miller,lobbyist,0
138,edward p. ayoob,lobbyist,0
139,robert ganim,lobbyist,0
140,andrew quinn,lobbyist,0
141,stephen borg,lobbyist,0
142,c. stewart verdery,lobbyist,0
143,ashley hoy,lobbyist,0
144,kate mills,lobbyist,0
145,kimberly ellis,lobbyist,0
146,rich thomas,lobbyist,0
147,matt herrmann,lobbyist,0
148,erin neal,lobbyist,0
149,edward eynon,lobbyist,0
150,patrick anderson,lobbyist,0
151,darren willcox,lobbyist,0
